Opportunity_Rec_ID__c,AccountId,Contact__c,Site_Address_Billing_Address__c,Site_Address_Shipping_Address__c,Name,Probability,CreatedDate,CloseDate,Stage_RecID,StageName,Account_Executive__c,AE_Member_RecID,Strategic_Consultant__c,SC_Member_RecID,OwnerId,Location_RecID,Location__c,Department__c,Solution_Engineer_1__c,Solution_Engineer_2__c,Non_Recurring__c,Amount,Full_Agreement_Term__c,MRR_Delta__c,Sell_Quote__c,Sell_Quote_EXP_Date__c,pricebook2id,product2id
100,19419,1811,1158,1158,Noble Energy-Caprock-Riverbed 755H,20,8/6/2013,1/20/2014,3,Closing,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
105,19419,1829,1158,1158,Noble Energy Hillspoint 16 port Raritain,0,8/7/2013,8/7/2013,16,Order Porter Approved,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Network Architecture,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
110,19419,1877,1158,1158,Noble Energy-SCADA-Access Switches,0,8/7/2013,8/7/2013,16,Order Porter Approved,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Professional-Services,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
112,19419,1826,1158,1158,Noble Energy-Houston-7965 Expansion Module,0,8/8/2013,8/8/2013,16,Order Porter Approved,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Sales Boards,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
114,19419,1825,1158,1158,Noble Energy-Houston-IPT 150 Hour Block,0,8/8/2013,8/8/2013,16,Order Porter Approved,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Professional-Services,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
128,19419,1820,1158,1158,Noble Energy-Houston-Memory MCS7825-I4,20,8/14/2013,1/20/2014,3,Closing,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
131,19419,1810,1158,1158,Noble Energy-Equatorial New Guinea-PR 2593,20,8/15/2013,1/20/2014,3,Closing,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
135,19419,1877,1158,1158,Noble-Denver-Plattville Rebuild,20,8/16/2013,1/13/2014,3,Closing,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
136,19419,1829,1158,1158,Noble Energy-Houston-Telepresence Network,0,8/16/2013,2/12/2014,14,Negotiating,Elmer Mosbey,173,Kenneth Crisp,253,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
138,19419,1820,1158,1158,Noble Energy-Houston-Attendant Console(Cisco),20,8/19/2013,1/20/2014,3,Closing,Elmer Mosbey,173,Richard Remels,230,173,30,Meriplex Communications ,Non-Recurring Revenue,,,,,,,,,01sDn0000013Ye9IAE,01tDn0000074PjWIAU
